
,Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TIME FROM,TIME TO,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00,02:30,"1, 9, 13","13, 5, 9","9, 1, 5","5, 13, 1","2, 10, 14","14, 6, 10","10, 2, 6","6, 14, 2","3, 11, 15","15, 7, 11","11, 3, 7","7, 15, 3","4, 12, 16","16, 8, 12","12, 4, 8","8, 16, 4"
02:00,04:30,"2, 10, 14","14, 6, 10","10, 2, 6","6, 14, 2","3, 11, 15","15, 7, 11","11, 3, 7","7, 15, 3","4, 12, 16","16, 8, 12","12, 4, 8","8, 16, 4","5, 13, 1","1, 9, 13","13, 5, 9","9, 1, 5"
04:00,06:30,"3, 11, 15","15, 7, 11","11, 3, 7","7, 15, 3","4, 12, 16","16, 8, 12","12, 4, 8","8, 16, 4","5, 13, 1","1, 9, 13","13, 5, 9","9, 1, 5","6, 14, 2","2, 10, 14","14, 6, 10","10, 2, 6"
06:00,08:30,"4, 12, 16","16, 8, 12","12, 4, 8","8, 16, 4","5, 13, 1","1, 9, 13","13, 5, 9","9, 1, 5","6, 14, 2","2, 10, 14","14, 6, 10","10, 2, 6","7, 15, 3","3, 11, 15","15, 7, 11","11, 3, 7"
08:00,10:30,"5, 13, 1","1, 9, 13","13, 5, 9","9, 1, 5","6, 14, 2","2, 10, 14","14, 6, 10","10, 2, 6","7, 15, 3","3, 11, 15","15, 7, 11","11, 3, 7","8, 16, 4","4, 12, 16","16, 8, 12","12, 4, 8"
10:00,12:30,"6, 14, 2","2, 10, 14","14, 6, 10","10, 2, 6","7, 15, 3","3, 11, 15","15, 7, 11","11, 3, 7","8, 16, 4","4, 12, 16","16, 8, 12","12, 4, 8","9, 1, 5","5, 13, 1","1, 9, 13","13, 5, 9"
12:00,14:30,"7, 15, 3","3, 11, 15","15, 7, 11","11, 3, 7","8, 16, 4","4, 12, 16","16, 8, 12","12, 4, 8","9, 1, 5","5, 13, 1","1, 9, 13","13, 5, 9","10, 2, 6","6, 14, 2","2, 10, 14","14, 6, 10"
14:00,16:30,"8, 16, 4","4, 12, 16","16, 8, 12","12, 4, 8","9, 1, 5","5, 13, 1","1, 9, 13","13, 5, 9","10, 2, 6","6, 14, 2","2, 10, 14","14, 6, 10","11, 3, 7","7, 15, 3","3, 11, 15","15, 7, 11"
16:00,18:30,"9, 1, 5","5, 13, 1","1, 9, 13","13, 5, 9","10, 2, 6","6, 14, 2","2, 10, 14","14, 6, 10","11, 3, 7","7, 15, 3","3, 11, 15","15, 7, 11","12, 4, 8","8, 16, 4","4, 12, 16","16, 8, 12"
18:00,20:30,"10, 2, 6","6, 14, 2","2, 10, 14","14, 6, 10","11, 3, 7","7, 15, 3","3, 11, 15","15, 7, 11","12, 4, 8","8, 16, 4","4, 12, 16","16, 8, 12","13, 5, 9","9, 1, 5","5, 13, 1","1, 9, 13"
20:00,22:30,"11, 3, 7","7, 15, 3","3, 11, 15","15, 7, 11","12, 4, 8","8, 16, 4","4, 12, 16","16, 8, 12","13, 5, 9","9, 1, 5","5, 13, 1","1, 9, 13","14, 6, 10","10, 2, 6","6, 14, 2","2, 10, 14"
22:00,00:30,"12, 4, 8","8, 16, 4","4, 12, 16","16, 8, 12","13, 5, 9","9, 1, 5","5, 13, 1","1, 9, 13","14, 6, 10","10, 2, 6","6, 14, 2","2, 10, 14","15, 7, 11","11, 3, 7","7, 15, 3","3, 11, 15"
